player_name,threat
Erling Haaland,1217.0
Antoine Semenyo,854.0
Bruno Borges Fernandes,437.0
Gabriel dos Santos Magalhães,199.0
Declan Rice,273.0
João Pedro Junqueira de Jesus,795.0
Jurriën Timber,352.0
Igor Thiago Nascimento Rodrigues,936.0
Harry Wilson,501.0
Jarrod Bowen,685.0
Marcos Senesi Barón,176.0
James Tarkowski,265.0
Marc Guéhi,339.0
Bruno Guimarães Rodriguez Moura,365.0
Bukayo Saka,762.0
James Garner,207.0
Carlos Henrique Casimiro,426.0
Elliot Anderson,232.0
Morgan Rogers,710.0
Virgil van Dijk,364.0
Trevoh Chalobah,154.0
David Raya Martín,0.0
Matheus Nunes,98.0
Enzo Fernández,618.0
Maxence Lacroix,217.0
Nico O'Reilly,356.0
Morgan Gibbs-White,588.0
Hugo Ekitiké,728.0
Ryan Gravenberch,151.0
Bryan Mbeumo,714.0
Jordan Pickford,2.0
Anton Stach,268.0
Adrien Truffert,100.0
Dominik Szoboszlai,297.0
Daniel Ballard,353.0
Martín Zubimendi Ibáñez,258.0
Jan Paul van Hecke,235.0
Dean Henderson,0.0
Nordi Mukiele,141.0
Kiernan Dewsbury-Hall,309.0
Tyrick Mitchell,187.0
Reece James,109.0
Malick Thiaw,350.0
Chris Richards,135.0
Rúben dos Santos Gato Alves Dias,96.0
Phil Foden,439.0
Ibrahima Konaté,96.0
Michael Keane,239.0
Matheus Santos Carneiro da Cunha,576.0
Robin Roefs,0.0
Daniel Muñoz Mejía,285.0
Dominic Calvert-Lewin,717.0
William Saliba,74.0
Marcus Tavernier,432.0
Enzo Le Fée,199.0
Alex Scott,267.0
Pedro Lomba Neto,427.0
Brenden Aaronson,424.0
Mateus Gonçalo Espanha Fernandes,105.0
Caoimhín Kelleher,0.0
Cody Gakpo,629.0
Gianluigi Donnarumma,0.0
Jaidon Anthony,458.0
Florian Wirtz,530.0
Iliman Ndiaye,401.0
Omar Alderete,231.0
Viktor Gyökeres,622.0
Matty Cash,188.0
Ollie Watkins,778.0
Đorđe Petrović,0.0
Robert Lynch Sánchez,0.0
Joachim Andersen,124.0
Rayan Cherki,365.0
Leandro Trossard,432.0
Emiliano Martínez Romero,0.0
Nathan Collins,258.0
Raúl Jiménez Rodríguez,659.0
Bart Verbruggen,0.0
Dango Ouattara,449.0
Kevin Schade,669.0
Mohamed Salah,644.0
Diogo Dalot Teixeira,159.0
Micky van de Ven,204.0
Jake O'Brien,128.0
Ethan Ampadu,90.0
Granit Xhaka,83.0
Yankuba Minteh,498.0
Danny Welbeck,501.0
Cole Palmer,429.0
Moisés Caicedo Corozo,104.0
Eberechi Eze,373.0
Alex Iwobi,227.0
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,170.0
Benjamin Sesko,658.0
Riccardo Calafiori,249.0
Marc Cucurella Saseta,206.0
Ismaïla Sarr,396.0
Joe Rodon,173.0
Crysencio Summerville,472.0
Adam Wharton,147.0
Malo Gusto,168.0
Ezri Konsa Ngoyo,104.0
Francisco Evanilson de Lima Barbosa,693.0
Alisson Becker,0.0
Neco Williams,258.0
Cristian Romero,206.0
Pascal Struijk,218.0
Anthony Gordon,479.0
Guglielmo Vicario,0.0
Richarlison de Andrade,533.0
Nick Woltemade,385.0
Nikola Milenković,104.0
Trai Hume,183.0
Tijjani Reijnders,394.0
Martin Dúbravka,0.0
Mikkel Damsgaard,249.0
Jean-Philippe Mateta,664.0
Bernd Leno,0.0
João Victor Gomes da Silva,150.0
Ferdi Kadıoğlu,181.0
Yasin Ayari,206.0
James Hill,85.0
Sepp van den Berg,240.0
Diego Gómez Amarilla,369.0
Alexis Mac Allister,273.0
Emiliano Buendía Stati,304.0
Nick Pope,35.0
Pedro Porro Sauceda,94.0
Lesley Ugochukwu,188.0
Lewis Dunk,156.0
Kenny Tete,108.0
Bernardo Mota Veiga de Carvalho e Silva,226.0
Harvey Barnes,575.0
El Hadji Malick Diouf,83.0
Keane Lewis-Potter,228.0
Ryan Sessegnon,187.0
Jack Grealish,397.0
Lucas Digne,108.0
Michael Kayode,77.0
Vitalii Mykolenko,65.0
Joško Gvardiol,193.0
Tomáš Souček,339.0
Yehor Yarmoliuk,110.0
Thierno Barry,420.0
Sander Berge,75.0
Dan Burn,76.0
Murillo Costa dos Santos,73.0
Callum Hudson-Odoi,300.0
Mohammed Kudus,302.0
André Trindade da Costa Neto,28.0
Junior Kroupi,365.0
Jérémy Doku,384.0
Patrick Dorgu,262.0
Luke Shaw,57.0
Konstantinos Mavropanos,188.0
Piero Hincapié,57.0
Senne Lammens,2.0
John McGinn,193.0
Igor Jesus Maciel da Cruz,495.0
Calvin Bassey,79.0
Milos Kerkez,118.0
Amad Diallo,427.0
Lewis Hall,131.0
Hugo Bueno López,134.0
Jayden Bogle,185.0
Sandro Tonali,165.0
Ibrahim Sangaré,116.0
Santiago Ignacio Bueno,149.0
Kristoffer Ajer,161.0
Vitaly Janelt,91.0
Mats Wieffer,170.0
Josh Cullen,98.0
Matz Sels,0.0
Georginio Rutter,368.0
Lucas Tolentino Coelho de Lima,186.0
Jordan Henderson,43.0
Chemsdine Talbi,170.0
Noah Okafor,322.0
Mikel Merino Zazón,237.0
Amadou Onana,125.0
Maxime Estève,88.0
Idrissa Gana Gueye,174.0
Yéremy Pino Santos,318.0
Florentino Ibrain Morris Luís,44.0
Mathias Jensen,153.0
Zian Flemming,362.0
Emile Smith Rowe,321.0
Lukas Nmecha,331.0
Sven Botman,134.0
Jacob Murphy,303.0
Rodrigo Bentancur,85.0
Callum Wilson,396.0
Álex Jiménez Sánchez,169.0
Xavi Simons,202.0
Brian Brobbey,275.0
Harry Maguire,104.0
Joelinton Cássio Apolinário de Lira,309.0
Pape Matar Sarr,142.0
Aaron Wan-Bissaka,30.0
Martin Ødegaard,144.0
Jørgen Strand Larsen,384.0
Boubacar Kamara,75.0
Maxim De Cuyper,132.0
Kyle Walker,22.0
Omari Hutchinson,275.0
Amine Adli,243.0
Tyler Adams,105.0
Norberto Bercique Gomes Betuncal,439.0
Noah Sadiki,79.0
Wilson Isidor,384.0
Gabriel Gudmundsson,148.0
Djed Spence,153.0
Ladislav Krejcí,206.0
Lewis Miley,132.0
Rodrigo 'Rodri' Hernandez Cascante,99.0
Tim Iroegbunam,48.0
José Malheiro de Sá,0.0
Donyell Malen,290.0
Estêvão Almeida de Oliveira Gonçalves,283.0
Jaka Bijol,195.0
Nico González Iglesias,64.0
Tino Livramento,36.0
Archie Gray,134.0
James Justin,123.0
Noni Madueke,312.0
Jefferson Lerma Solís,174.0
Ilia Gruev,63.0
Mathys Tel,226.0
Tolu Arokodare,434.0
Jack Hinshelwood,208.0
Wesley Fofana,38.0
Daichi Kamada,136.0
Brennan Johnson,189.0
Youri Tielemans,147.0
Rico Henry,35.0
Quilindschy Hartman,59.0
Mateus Mané,198.0
Hannibal Mejbri,88.0
Josh Laurent,94.0
Saša Lukić,119.0
Jeremie Frimpong,113.0
Alejandro Garnacho Ferreyra,344.0
Fabian Schär,108.0
Reinildo Mandava,37.0
Alphonse Areola,0.0
Samuel Chukwueze,202.0
Pau Torres,55.0
Mitoma Kaoru,305.0
Lyle Foster,216.0
Yerson Mosquera Valdelamar,207.0
Jackson Tchatchoua,42.0
Leny Yoro,90.0
Curtis Jones,160.0
Kieran Trippier,12.0
Dan Ndoye,178.0
Gabriel Martinelli Silva,331.0
David Brooks,398.0
Mason Mount,158.0
Ola Aina,54.0
Habib Diarra,166.0
Wilson Odobert,234.0
Bafodé Diakité,22.0
Jhon Arias,148.0
Jaydee Canvot,28.0
Tyrone Mings,55.0
Hjalmar Ekdal,78.0
Marcus Edwards,195.0
Josh King,226.0
Rayan Aït-Nouri,57.0
Sean Longstaff,71.0
Jean-Clair Todibo,24.0
Hwang Hee-chan,145.0
Dwight McNeil,111.0
Tanaka Ao,78.0
Matthijs de Ligt,122.0
Kobbie Mainoo,55.0
Lucas Estella Perri,0.0
Mads Hermansen,0.0
Lutsharel Geertruida,63.0
Kevin Santos Lopes de Macedo,206.0
Conor Bradley,62.0
Evann Guessand,167.0
Randal Kolo Muani,200.0
Pascal Groß,109.0
Ian Maatsen,186.0
Justin Kluivert,128.0
Carlos Baleba,29.0
Omar Marmoush,227.0
Anthony Elanga,161.0
Bashir Humphreys,61.0
Will Hughes,86.0
Antonee Robinson,34.0
Jorge Cuenca Barreno,14.0
Lisandro Martínez,10.0
Lucas Bergvall,133.0
Armando Broja,205.0
Nicolò Savona,94.0
Soungoutou Magassa,44.0
Adam Smith,18.0
Lewis Cook,12.0
Loum Tchaouna,101.0
Eliezer Mayenda Dossou,188.0
Marshall Munetsi,196.0
Jacob Ramsey,129.0
Liam Delap,311.0
Joshua Zirkzee,195.0
Nicolás Domínguez,119.0
Jacob Bruun Larsen,128.0
Karl Darlow,0.0
Andrew Robertson,61.0
Maximilian Kilman,60.0
Joël Veltman,63.0
Brajan Gruda,152.0
Abdukodir Khusanov,10.0
Felipe Rodrigues da Silva,59.0
Kevin Danso,33.0
Lamare Bogarde,10.0
Federico Chiesa,138.0
Simon Adingra,75.0
Freddie Potts,37.0
Rodrigo Martins Gomes,176.0
Jean-Ricner Bellegarde,138.0
Ryan Christie,140.0
Aaron Hickey,42.0
Tosin Adarabioyo,19.0
Josh Acheampong,66.0
Manuel Ugarte Ribeiro,38.0
Dominic Solanke-Mitchell,212.0
James Milner,54.0
Kyle Walker-Peters,98.0
Andrey Nascimento dos Santos,61.0
Benjamin White,46.0
Charalampos Kostoulas,192.0
Timothy Castagne,111.0
Joe Gomez,26.0
Oscar Bobb,107.0
William Osula,87.0
Bertrand Traoré,135.0
Valentín Castellanos,255.0
Rayan Vitor Simplício Rocha,111.0
Ross Barkley,65.0
Justin Devenny,164.0
Tom Cairney,49.0
Alexander Isak,143.0
David Møller Wolfe,46.0
Douglas Luiz Soares de Paulo,83.0
Noussair Mazraoui,30.0
Toti Gomes,34.0
Cristhian Mosquera,10.0
Axel Tuanzebe,52.0
Nathan Aké,25.0
Sávio Moreira de Oliveira,232.0
Ayden Heaven,26.0
Joe Willock,108.0
Carlos Alcaraz Durán,156.0
Jadon Sancho,176.0
Jamie Bynoe-Gittens,91.0
Chris Wood,179.0
Jarrad Branthwaite,74.0
James Ward-Prowse,6.0
Eddie Nketiah,173.0
Rodrigo Muniz Carvalho,166.0
Emmanuel Agbadou,75.0
Adama Traoré Diarra,62.0
Wilfried Gnonto,39.0
Victor Lindelöf,8.0
Enes Ünal,86.0
Olivier Boscagli,12.0
Nathan Patterson,17.0
Ollie Scarles,22.0
Sam Johnstone,0.0
Aaron Ramsdale,0.0
Joe Worrall,19.0
Axel Disasi,53.0
Yoane Wissa,137.0
Lucas Pires Silva,62.0
Harrison Armstrong,78.0
Giorgi Mamardashvili,0.0
Rico Lewis,43.0
Ryan Yates,34.0
Rio Ngumoha,81.0
Veljko Milosavljevic,10.0
Conor Gallagher,86.0
Chris Rigg,29.0
Tyler Dibling,32.0
Gabriel Fernando de Jesus,207.0
Sebastiaan Bornauw,10.0
Daniel James,97.0
Merlin Röhl,32.0
Christantus Uche,73.0
Stefanos Tzimas,44.0
Taiwo Awoniyi,105.0
Nathaniel Clyne,33.0
Radu Drăgușin,27.0
Destiny Udogie,82.0
Adam Armstrong,13.0
Matt O'Riley,63.0
Chadi Riad Dnanou,14.0
Joël Piroe,96.0
Dennis Cirkin,8.0
Romaine Mundle,69.0
Dilane Bakwa,78.0
Tammy Abraham,89.0
Fábio Freitas Gouveia Carvalho,36.0
Oliver Sonne,30.0
Issa Diop,12.0
Yves Bissouma,23.0
Melker Ellborg,0.0
Myles Lewis-Skelly,18.0
Kai Havertz,49.0
Leon Bailey,43.0
Frank Onyeka,4.0
Marc Guiu Paz,81.0
Harrison Reed,7.0
Jack Harrison,35.0
Endo Wataru,6.0
John Stones,2.0
Niclas Füllkrug,130.0
Matt Doherty,18.0
Fer López González,37.0
Marco Bizot,0.0
James Trafford,0.0
Stefan Ortega Moreno,0.0
Altay Bayındır,0.0
Jorrel Hato,24.0
Max Dowman,47.0
John Victor Maciel Furtado,0.0
Diego Coppola,2.0
Tyrique George,77.0
Ben Davies,52.0
Ki-Jana Hoever,13.0
Pablo Felipe Pereira de Jesus,23.0
Andy Irving,2.0
Arnaud Kalimuendo,39.0
Nilson Angulo,62.0
Angel Gomes,10.0
Ethan Nwaneri,24.0
James McAtee,10.0
Luke O'Nien,4.0
Guido Rodríguez,2.0
Lorenzo Lucca,31.0
Oleksandr Zinchenko,22.0
Benoît Badiashile Mukinayi,2.0
Roméo Lavia,2.0
Walter Benítez,0.0
Ben Gannon-Doak,11.0
Christian Nørgaard,7.0
Reiss Nelson,16.0
Igor Julio dos Santos de Paulo,0.0
Filip Jörgensen,0.0
Tom Edozie,17.0
Ezra Mayers,9.0
Mohamadou Kanté,4.0
Tom Watson,7.0
Borna Sosa,4.0
Harvey Elliott,31.0
Jair Paula da Cunha Filho,10.0
Luis Guilherme Lira dos Santos,4.0
Max Alleyne,26.0
Hamed Traorè,0.0
Ethan Pinnock,12.0
Romelle Donovan,21.0
Mike Trésor Ndayishimiye,2.0
Ashley Barnes,9.0
Romain Esse,6.0
Trey Nyoni,4.0
Jonah Kusi-Asare,8.0
Harry Howell,2.0
Andrés García,0.0
Julio Soler Barreto,2.0
Séamus Coleman,0.0
Jack Fletcher,5.0
Dan Neil,0.0
Nayef Aguerd,8.0
Pedro Cardoso de Lima,2.0
Alysson Edward Franco da Rocha dos Santos,10.0
Alex Tóth,14.0
João Victor de Souza Menezes,8.0
Facundo Buonanotte,19.0
Mamadou Sarr,7.0
Tyrell Malacia,0.0
Zach Abbott,0.0
Jenson Seelt,0.0
Dane Scarlett,2.0
Callum Marshall,7.0
Tawanda Chirewa,0.0
Divine Mukasa,4.0
George Hemmings,2.0
Shea Lacey,11.0
Joél Drakes-Thomas,0.0
Luca Netz,2.0
Jamaldeen Jimoh-Aloba,0.0
Ben Winterburn,0.0
Hákon Rafn Valdimarsson,0.0
Antoni Milambo,0.0
Myles Peart-Harris,0.0
Solly March,0.0
Joe Knight,0.0
Jaydon Banel,0.0
Kaden Rodney,0.0
Odsonne Édouard,0.0
Sam Byram,0.0
Mateo Kovačić,0.0
Tyler Fredricson,0.0
Jamaal Lascelles,7.0
Alex Murphy,0.0
João Pedro Ferreira da Silva,4.0
Patrick Roberts,5.0
Callum Olusesi,0.0
George Earthy,2.0
Saša Kalajdžić,2.0
Angus Gunn,0.0
Arthur Masuaku,7.0
Bradley Burrowes,0.0
Nehemiah Oriola,0.0
Jun'ai Byfield,0.0
James Rowswell,0.0
Bendito Mantato,0.0
Tyler Fletcher,0.0
Djiamgone Jocelin Ta Bi,2.0
Kepa Arrizabalaga Revuelta,0.0
Karl Hein,0.0
Tommy Setford,0.0
Jakub Kiwior,0.0
Brayden Clarke,0.0
Maldini Kacurri,0.0
Josh Nichols,0.0
Fábio Ferreira Vieira,0.0
Ismeal Kabia,0.0
Albert Sambi Lokonga,0.0
Joe Gauci,0.0
Filip Marschall,0.0
Álex Moreno Lopera,0.0
Lino da Cruz Sousa,0.0
Yasin Özcan,0.0
Samuel Iling-Junior,0.0
Enzo Barrenechea,0.0
Lewis Dobbin,0.0
Ben Broggio,0.0
Leander Dendoncker,0.0
Kadan Young,0.0
Zépiqueno Redmond,0.0
Norberto Murara Neto,0.0
Will Dennis,0.0
Callan McKenna,0.0
Alex Paulsen,0.0
Illia Zabarnyi,0.0
Matai Akinmboni,0.0
Owen Bevan,0.0
Julián Araujo Zúñiga,0.0
Chris Mepham,0.0
Philip Billing,0.0
Luis Sinisterra Lucumí,0.0
Romain Faivre,0.0
Dominic Sadi,0.0
Zain Silcott-Duberry,0.0
Daniel Adu-Adjei,0.0
Ellery Balcombe,0.0
Matthew Cox,0.0
Julian Eyestone,0.0
Mads Roerslev Rasmussen,0.0
Benjamin Arthur,0.0
Benjamin Fredrick,0.0
Kim Ji-soo,0.0
Jayden Meghoma,0.0
Gustavo Nunes Fernandes Gomes,0.0
Yunus Emre Konak,0.0
Paris Maghoma,0.0
Ryan Trevitt,0.0
Iwan Morgan,0.0
Jason Steele,0.0
Tom McGill,0.0
Carl Rushworth,0.0
Kjell Scherpen,0.0
Pervis Estupiñán Tenorio,0.0
Tariq Lamptey,0.0
Adam Webster,0.0
Eiran Cashin,0.0
Jacob Slater,0.0
Charlie Tasker,0.0
Julio Enciso Espínola,0.0
Abdallah Sima,0.0
Jeremy Sarmiento Morante,0.0
Malick Yalcouyé,0.0
Adrian Mazilu,0.0
Andrew Moran,0.0
Evan Ferguson,0.0
Max Weiß,0.0
Etienne Green,0.0
Václav Hladký,0.0
Connor Roberts,0.0
Hannes Delcroix,0.0
Owen Dodgson,0.0
Jordan Beyer,0.0
Shurandy Sambo,0.0
Manuel Benson Hedilazio,0.0
Enock Agyei,0.0
Darko Churlinov,0.0
Luca Koleosho,0.0
Aaron Ramsey,0.0
Oluwaseun Adewumi,0.0
Zeki Amdouni,0.0
Michael Obafemi,0.0
Mike Penders,0.0
Gabriel Słonina,0.0
Levi Samuels Colwill,0.0
Aarón Anselmino,0.0
Christopher Nkunku,0.0
Mykhailo Mudryk,0.0
Dário Luís Essugo,0.0
Kendry Páez Andrade,0.0
Nicolas Jackson,0.0
Remi Matthews,0.0
Rob Holding,0.0
Caleb Kporha,0.0
Cheick Doucouré,0.0
Asher Agbinone,0.0
Naouirou Ahamada,0.0
Malcolm Ebiowei,0.0
Jesurun Rak-Sakyi,0.0
Matheus França de Oliveira,0.0
David Ozoh,0.0
Franco Umeh-Chibueze,0.0
Zach Marsh,0.0
Mark Travers,0.0
Harry Tyrer,0.0
Roman Dixon,0.0
Reece Welch,0.0
Callum Bates,0.0
Coby Ebere,0.0
Isaac Heath,0.0
Jenson Metcalfe,0.0
Youssef Ramalho Chermiti,0.0
Martin Sherif,0.0
Steven Benda,0.0
Samuel Amissah,0.0
Andreas Hoelgebaum Pereira,0.0
Martial Godo,0.0
Luke Harris,0.0
Illan Meslier,0.0
Alex Cairns,0.0
Isaac Schmidt,0.0
Sam Greenwood,0.0
Largie Ramazani,0.0
Charlie Crew,0.0
Joe Gelhardt,0.0
Darko Gyabi,0.0
Patrick Bamford,0.0
Mateo Joseph Fernández-Regatillo,0.0
Ármin Pécsi,0.0
Freddie Woodman,0.0
Konstantinos Tsimikas,0.0
Amara Nallo,0.0
Rhys Williams,0.0
Calvin Ramsay,0.0
Luis Díaz Marulanda,0.0
Stefan Bajčetić Maquieira,0.0
James McConnell,0.0
Tyler Morton,0.0
Darwin Núñez Ribeiro,0.0
Jayden Danns,0.0
Ederson Santana de Moraes,0.0
Marcus Bettinelli,0.0
Manuel Akanji,0.0
Vitor de Oliveira Nunes dos Reis,0.0
İlkay Gündoğan,0.0
Claudio Echeverri,0.0
Sverre Nypan,0.0
Kalvin Phillips,0.0
André Onana,0.0
Elyh Harrison,0.0
Tom Heaton,0.0
Dermot Mee,0.0
Diego León Blanco,0.0
Harry Amass,0.0
Marcus Rashford,0.0
Antony dos Santos,0.0
Toby Collyer,0.0
Jayce Fitzgerald,0.0
Sékou Koné,0.0
Jack Moorhouse,0.0
Rasmus Højlund,0.0
Chido Obi,0.0
Ethan Wheatley,0.0
Mark Gillespie,0.0
Odysseas Vlachodimos,0.0
Emil Krafth,0.0
Harrison Ashby,0.0
Miodrag Pivaš,0.0
Matt Targett,0.0
Antoñito Cordero Campillo,0.0
Isaac Hayden,0.0
Garang Kuol,0.0
Joe White,0.0
Sean Neave,0.0
Carlos Miguel dos Santos Pereira,0.0
Matt Turner,0.0
David Mota Veiga Teixeira do Carmo,0.0
Omar Richards,0.0
Willy Boly,0.0
Lewis O'Brien,0.0
Eric da Silva Moreira,0.0
Marko Stamenić,0.0
Anthony Patterson,0.0
Simon Moore,0.0
Blondy Nna Noukeu,0.0
Aji Alese,0.0
Joe Anderson,0.0
Leo Fuhr Hjelde,0.0
Niall Huggins,0.0
Zak Johnson,0.0
Timothée Pembélé,0.0
Milan Aleksić,0.0
Ian Poveda-Ocampo,0.0
Abdoullah Ba,0.0
Alan Browne,0.0
Pierre Ekwah Elimby,0.0
Harrison Jones,0.0
Jay Matete,0.0
Nectarios Triantis,0.0
Ahmed Abdullahi,0.0
Luís Hemir Silva Semedo,0.0
Nazarii Rusyn,0.0
Brandon Austin,0.0
Antonín Kinský,0.0
Ashley Phillips,0.0
Takai Kōta,0.0
Luka Vušković,0.0
Son Heung-min,0.0
James Maddison,0.0
Dejan Kulusevski,0.0
Manor Solomon,0.0
Bryan Gil Salvatierra,0.0
Mikey Moore,0.0
Yang Min-hyeok,0.0
Will Lankshear,0.0
Wes Foderingham,0.0
Krisztián Hegyi,0.0
Emerson Palmieri dos Santos,0.0
Kaelan Casey,0.0
Edson Álvarez Velázquez,0.0
Maxwel Cornet,0.0
Lewis Orford,0.0
Daniel Bentley,0.0
Tom King,0.0
Bastien Meupiyou Menadjou,0.0
Alfie Pond,0.0
Gonçalo Manuel Ganchinho Guedes,0.0
Boubacar Traoré,0.0
Enso González Medina,0.0
Joe Hodge,0.0
Fábio Soares Silva,0.0
Leon Chiwome,0.0
Nathan Fraser,0.0
Benjamin Lecomte,0.0
Adam Aznou,0.0
Remy Rees-Dottin,0.0
James Wright,0.0
Seung-Soo Park,0.0
Rio Cardines,0.0
Giovanni Leoni,0.0
Triston Rowe,0.0
Sam Proctor,0.0
Tyler Onyango,0.0
Elijah Campbell,0.0
Travis Patterson,0.0
Andre Harriman-Annous,0.0
Luis Eduardo Soares da Silva,0.0
Lukasz Fabianski,0.0
Stephen Mfuni,0.0
Harry Gray,0.0
Ryan McAidoo,0.0
Landon Emenalo,0.0
Kieran Morrison,0.0
Josh Dasilva,0.0
Yusuf Akhamrich,0.0
Airidas Golambeckis,0.0
John Ruddy,0.0
Malcom DaCosta,0.0
Ronnie Hollingshead,0.0
Marli Salmon,0.0
Wellity Lucky,0.0
Freddie Simmonds,0.0
Charlie Gray,0.0
Reigan Heskey,0.0
Leo Shahar,0.0
Saheed Olagunju,0.0
Luke Rawlings,0.0
Leon Routh,0.0
Seth Ridgeon,0.0
Sam Alabi,0.0
Dean Benamar,0.0
Jenson Jones,0.0
Tymur Tutierov,0.0
Oliver Pimlott,0.0
Temple Ojinnaka,0.0
Ethan Sutherland,0.0
Braiden Graham,0.0
Ben Casey,0.0
TJ Carroll,0.0
Fraser Forster,0.0
George Brierley,0.0
Alfie McNally,0.0
Sam Chambers,0.0
Godwill Kukonki,0.0
Max Merrick,0.0
Lucá Williams-Barnett,0.0
George King,0.0
Kaye Furo,0.0
Danny Imray,0.0
Charlie Stevens,0.0
Keiber Lamadrid,0.0
Teddy Sharman-Lowe,0.0
Christos Mandas,0.0
Jerome Abbey,0.0
Luka Bentt,0.0
Rio Kyerematen,0.0
James Wilson,0.0
Ollie Shield,0.0
Kian McMahon-Brown,0.0
Jack Whittaker,0.0
Jaydon Jones,0.0
